player_id,player_name,player_email,gender,age
1,Riley Jackson,riley.jackson27@clarku.edu,Non-binary,50
2,Chris Anderson,chris.anderson93@clarku.edu,Male,25
3,Riley Williams,riley.williams0@clarku.edu,Female,37
4,Skyler Brown,skyler.brown18@clarku.edu,Male,57
5,Riley Williams,riley.williams14@clarku.edu,Prefer not to say,21
6,Morgan Davis,morgan.davis31@clarku.edu,Prefer not to say,25
7,Jamie Moore,jamie.moore41@clarku.edu,Prefer not to say,52
8,Riley Moore,riley.moore18@clarku.edu,Male,37
9,Jordan Moore,jordan.moore48@clarku.edu,Non-binary,57
10,Dakota Taylor,dakota.taylor34@clarku.edu,Prefer not to say,46
11,Jordan Anderson,jordan.anderson63@clarku.edu,Non-binary,52
12,Taylor Brown,taylor.brown81@clarku.edu,Male,64
13,Morgan Anderson,morgan.anderson21@clarku.edu,Non-binary,43
14,Alex Miller,alex.miller37@clarku.edu,Non-binary,42
15,Taylor Davis,taylor.davis8@clarku.edu,Non-binary,26
16,Taylor Jones,taylor.jones64@clarku.edu,Male,53
17,Remi Jackson,remi.jackson28@clarku.edu,Non-binary,64
18,Remi Jones,remi.jones54@clarku.edu,Non-binary,42
19,Jordan Wilson,jordan.wilson45@clarku.edu,Prefer not to say,52
20,Taylor Taylor,taylor.taylor99@clarku.edu,Female,49
21,Morgan Davis,morgan.davis63@clarku.edu,Prefer not to say,40
22,Riley Moore,riley.moore58@clarku.edu,Non-binary,21
23,Jamie Wilson,jamie.wilson8@clarku.edu,Female,26
24,Alex Jackson,alex.jackson23@clarku.edu,Male,62
25,Riley Smith,riley.smith6@clarku.edu,Male,19
26,Skyler Thomas,skyler.thomas18@clarku.edu,Non-binary,59
27,Taylor Wilson,taylor.wilson49@clarku.edu,Male,28
28,Taylor Thomas,taylor.thomas20@clarku.edu,Female,51
29,Skyler Brown,skyler.brown26@clarku.edu,Male,33
30,Morgan Anderson,morgan.anderson97@clarku.edu,Non-binary,37
31,Jordan Thomas,jordan.thomas37@clarku.edu,Male,25
32,Jamie Brown,jamie.brown63@clarku.edu,Non-binary,42
33,Alex Miller,alex.miller67@clarku.edu,Non-binary,29
34,Chris Anderson,chris.anderson61@clarku.edu,Female,59
35,Casey Moore,casey.moore26@clarku.edu,Non-binary,61
36,Jamie Miller,jamie.miller61@clarku.edu,Non-binary,44
37,Skyler Jackson,skyler.jackson70@clarku.edu,Prefer not to say,23
38,Alex Thomas,alex.thomas24@clarku.edu,Female,38
39,Rowan Jones,rowan.jones39@clarku.edu,Male,51
40,Taylor Davis,taylor.davis39@clarku.edu,Prefer not to say,21
41,Chris Anderson,chris.anderson86@clarku.edu,Non-binary,19
42,Chris Jackson,chris.jackson2@clarku.edu,Non-binary,33
43,Chris Thomas,chris.thomas65@clarku.edu,Non-binary,20
44,Riley Miller,riley.miller25@clarku.edu,Non-binary,32
45,Riley Taylor,riley.taylor19@clarku.edu,Male,58
46,Taylor Thomas,taylor.thomas80@clarku.edu,Female,23
47,Jordan Williams,jordan.williams23@clarku.edu,Male,45
48,Morgan Davis,morgan.davis62@clarku.edu,Prefer not to say,38
49,Skyler Thomas,skyler.thomas11@clarku.edu,Female,46
50,Skyler Moore,skyler.moore15@clarku.edu,Non-binary,23
51,Taylor Wilson,taylor.wilson6@clarku.edu,Prefer not to say,22
52,Taylor Brown,taylor.brown57@clarku.edu,Non-binary,44
53,Casey Davis,casey.davis68@clarku.edu,Male,34
54,Morgan Brown,morgan.brown59@clarku.edu,Prefer not to say,64
55,Taylor Smith,taylor.smith45@clarku.edu,Male,32
56,Riley Jones,riley.jones34@clarku.edu,Male,61
57,Remi Taylor,remi.taylor92@clarku.edu,Male,49
58,Morgan Jackson,morgan.jackson51@clarku.edu,Female,19
59,Alex Jones,alex.jones73@clarku.edu,Female,18
60,Jordan Moore,jordan.moore14@clarku.edu,Prefer not to say,45
61,Morgan Taylor,morgan.taylor93@clarku.edu,Non-binary,44
62,Chris Anderson,chris.anderson36@clarku.edu,Female,40
63,Riley Brown,riley.brown42@clarku.edu,Male,65
64,Morgan Wilson,morgan.wilson13@clarku.edu,Prefer not to say,44
65,Skyler Anderson,skyler.anderson75@clarku.edu,Prefer not to say,30
66,Jordan Smith,jordan.smith91@clarku.edu,Male,46
67,Jamie Wilson,jamie.wilson27@clarku.edu,Female,20
68,Dakota Anderson,dakota.anderson88@clarku.edu,Male,37
69,Taylor Smith,taylor.smith50@clarku.edu,Prefer not to say,34
70,Taylor Miller,taylor.miller4@clarku.edu,Male,45
71,Jamie Moore,jamie.moore18@clarku.edu,Prefer not to say,23
72,Rowan Davis,rowan.davis84@clarku.edu,Male,45
73,Remi Jones,remi.jones39@clarku.edu,Female,60
74,Morgan Thomas,morgan.thomas85@clarku.edu,Female,55
75,Morgan Smith,morgan.smith63@clarku.edu,Male,34
76,Riley Wilson,riley.wilson20@clarku.edu,Male,28
77,Alex Jones,alex.jones60@clarku.edu,Non-binary,41
78,Chris Jackson,chris.jackson79@clarku.edu,Prefer not to say,42
